"filename", "language", "JSON", "C++", "HTML", "CMake", "YAML", "Markdown", "Swift", "Dart", "XML", "Java Properties", "Groovy", "comment", "blank", "total"
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\bingoDie.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 9, 148
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\bingoLost.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 10, 147
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\bingoWin.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 1, 10, 152
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\customGame.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 1, 10, 198
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\customGameDesc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 11, 181
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\customGameReady.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 17, 248
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\funeralGameReady.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 192, 0, 0, 0, 0, 14, 206
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\gamescreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 2068, 0, 0, 0, 43, 173, 2284
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\gamescreenBAR.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 2071, 0, 0, 0, 49, 173, 2293
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\gamescreenCustom.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 2072, 0, 0, 0, 50, 171, 2293
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\gamescreenFuneral.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 2094, 0, 0, 0, 49, 174, 2317
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\gamescreenPARTY.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 2105, 0, 0, 0, 49, 172, 2326
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\homescreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 1459, 0, 0, 0, 19, 57, 1535
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\messages.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 247, 0, 0, 0, 10, 14, 271
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\messagesBar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 258, 0, 0, 0, 15, 15, 288
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\messagesCustom.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 250, 0, 0, 0, 10, 14, 274
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\messagesFuneral.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 258, 0, 0, 0, 15, 15, 288
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\messagesParty.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 258, 0, 0, 0, 15, 15, 288
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\panelBar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 939, 0, 0, 0, 1, 9, 949
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\panelCustom.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 938, 0, 0, 0, 1, 9, 948
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\panelFuneral.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 939, 0, 0, 0, 1, 9, 949
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\panelParty.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 939, 0, 0, 0, 1, 9, 949
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\screens\partyGameReady.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 192, 0, 0, 0, 0, 14, 206
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\lib\service_locator.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\linux\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\linux\main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\linux\my_application.cc", "C++", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\linux\my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 4, 23
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\macos\firebase_app_id_file.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\pubspec.yaml", "YAML", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 55, 36, 133
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 6, 24
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\web\index.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 59
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\web\manifest.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\windows\runner\flutter_window.cpp", "C++", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\windows\runner\utils.cpp", "C++", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\windows\runner\win32_window.cpp", "C++", 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"c:\Users\User1\Documents\Bingo\bingo\bingo_application\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 308, 513, 37, 40, 45, 13, 48, 20365, 495, 8, 104, 624, 1497, 24097
